అ	a
అచె	a c e
అచెన్న్నాయుడు	a c e n n n aa y u dx u
అచంచలమైన	a c a q c a l a m ai n a
అచ్చు	a c c u
అచ్చె౦	a c c e
అచ్చెన్నా	a c c e n n aa
అచ్చెన్నాయుడు	a c c e n n aa y u dx u
అచ్చం	a c c a q
అచ్చంపేట	a c c a q p ee tx a
అచ్నెన్నాయుడు	a c n e n n aa y u dx u
అచ్యుతాపురం	a c y u t aa p u r a q
అజమాయీషి	a j a m aa y ii sx i
అజయంగా	a j a y a q g aa
అజయ్	a j a y
అజరామని	a j a r aa m a n i
అజశర్మను	a j a sh a r m a n u
అజహరుద్దీన్	a j a h a r u d d ii n
అజాగ్రత్త	a j aa g r a t t a
అజిత్	a j i t
అజింక్యా	a j i q k y aa
అజీమ్	a j ii m
అజెరడా	a j e r a dx aa
అజేయ	a j ee y a
అజంగఢ్	a j a q g a dxh
అజంతా	a j a q t aa
అజ్ఞాతవాసంగా	a j nj aa t a w aa s a q g aa
అజ్ఞాతంలో	a j nj aa t a q l oo
అజ్ఞాతంలోకి	a j nj aa t a q l oo k i
అజ్యింకె	a j y i q k e
అటకెక్కిచిన	a tx a k e k k i c i n a
అటగాడు	a tx a g aa dx u
అటల్	a tx a l
అటవీ	a tx a w ii
అటవీశాఖ	a tx a w ii sh aa kh a
అటాప్సీ	a tx aa p s ii
అటార్నీ	a tx aa r n ii
అటు	a tx u
అటుఇటూ	a tx u i tx uu
అటున్నట్లు	a tx u n n a tx l u
అటుపకున్న	a tx u p a k u n n a
అటుపక్కా	a tx u p a k k aa
అటువైపు	a tx u w ai p u
అటువైపే	a tx u w ai p ee
అటువంటప్పుడు	a tx u w a q tx a p p u dx u
అటువంటి	a tx u w a q tx i
అటువంటిదే	a tx u w a q tx i d ee
అటువంటిదేమీ	a tx u w a q tx i d ee m ii
అటువంటియన్నీ	a tx u w a q tx i y a n n ii
అటువంటివి	a tx u w a q tx i w i
అటుంచి	a tx u q c i
అటూ	a tx uu
అటే	a tx ee
అటోలో	a tx oo l oo
అట్టకక్కించి	a tx tx a k a k k i q c i
అట్టడుగున	a tx tx a dx u g u n a
అట్టహాసంగా	a tx tx a h aa s a q g aa
అట్టాడ	a tx tx aa dx a
అట్టుడుకుతోంది	a tx tx u dx u k u t oo q d i
అట్ల	a tx l a
అట్లని	a tx l a n i
అట్లనే	a tx l a n ee
అట్లయితే	a tx l a y i t ee
అట్లా	a tx l aa
అట్లాగ	a tx l aa g a
అట్లాగన	a tx l aa g a n a
అట్లాగని	a tx l aa g a n i
అట్లాగా	a tx l aa g aa
అట్లాగాని	a tx l aa g aa n i
అట్లాగే	a tx l aa g ee
అట్లాగేమి	a tx l aa g ee m i
అట్లాగో	a tx l aa g oo
అట్లాగంటే	a tx l aa g a q tx ee
అట్లాగ్	a tx l aa g
అట్లానే	a tx l aa n ee
అట్లాంటప్పుడు	a tx l aa q tx a p p u dx u
అట్లాంటి	a tx l aa q tx i
అట్లాంటిది	a tx l aa q tx i d i
అట్లాంటివి	a tx l aa q tx i w i
అట్లాంటివైతే	a tx l aa q tx i w ai t ee
అట్లాంట్	a tx l aa q tx
అట్లి	a tx l i
అట్లుండేది	a tx l u q dx ee d i
అట్లూరి	a tx l uu r i
అట్లెటికో	a tx l e tx i k oo
అట్లెటిక్క్	a tx l e tx i k k
అట్లే	a tx l ee
అడ	a dx a
అడగ	a dx a g a
అడగకుండా	a dx a g a k u q dx aa
అడగకుండానే	a dx a g a k u q dx aa n ee
అడగగానే	a dx a g a g aa n ee
అడగడానికి	a dx a g a dx aa n i k i
అడగడం	a dx a g a dx a q
అడగను	a dx a g a n u
అడగమని	a dx a g a m a n i
అడగలనుకుంటున్నారా	a dx a g a l a n u k u q tx u n n aa r aa
అడగలే	a dx a g a l ee
అడగలేక	a dx a g a l ee k a
అడగలేదని	a dx a g a l ee d a n i
అడగలేదా	a dx a g a l ee d aa
అడగలేదు	a dx a g a l ee d u
అడగాల	a dx a g aa l a
అడగాలని	a dx a g aa l a n i
అడగాలనుకుంటున్నారా	a dx a g aa l a n u k u q tx u n n aa r aa
అడగాలన్నదానిపై	a dx a g aa l a n n a d aa n i p ai
అడగాలన్నారు	a dx a g aa l a n n aa r u
అడగాలి	a dx a g aa l i
అడగాలో	a dx a g aa l oo
అడగొచ్చు	a dx a g o c c u
అడగండి	a dx a g a q dx i
అడగ్గా	a dx a g g aa
అడనివాల్సిన	a dx a n i w aa l s i n a
అడపాదడపా	a dx a p aa d a dx a p aa
అడమ్	a dx a m
అడవి	a dx a w i
అడవికి	a dx a w i k i
అడవిబిడ్డల	a dx a w i b i dx dx a l a
అడవిలకి	a dx a w i l a k i
అడవిలేదని	a dx a w i l ee d a n i
అడవిలో	a dx a w i l oo
అడవిలోకి	a dx a w i l oo k i
అడవుల	a dx a w u l a
అడవులకి	a dx a w u l a k i
అడవులనేవి	a dx a w u l a n ee w i
అడవులు	a dx a w u l u
అడవుల్లో	a dx a w u l l oo
అడవుల్లోకి	a dx a w u l l oo k i
అడవుల్లోని	a dx a w u l l oo n i
అడాసియన్	a dx aa s i y a n
అడిగాడు	a dx i g aa dx u
అడిగానని	a dx i g aa n a n i
అడిగాను	a dx i g aa n u
అడిగానండి	a dx i g aa n a q dx i
అడిగామని	a dx i g aa m a n i
అడిగారని	a dx i g aa r a n i
అడిగారు	a dx i g aa r u
అడిగారో	a dx i g aa r oo
అడిగి	a dx i g i
అడిగితె	a dx i g i t e
అడిగితే	a dx i g i t ee
అడిగిన	a dx i g i n a
అడిగినట్లయితే	a dx i g i n a tx l a y i t ee
అడిగినట్లు	a dx i g i n a tx l u
అడిగినప్పుడు	a dx i g i n a p p u dx u
అడిగినవి	a dx i g i n a w i
అడిగినా	a dx i g i n aa
అడిగినంత	a dx i g i n a q t a
అడిగినందుకు	a dx i g i n a q d u k u
అడిగించారని	a dx i g i q c aa r a n i
అడిగిండేది	a dx i g i q dx ee d i
అడిగింది	a dx i g i q d i
అడిగిందే	a dx i g i q d ee
అడిగే	a dx i g ee
అడిగేటప్పుడు	a dx i g ee tx a p p u dx u
అడిగేది	a dx i g ee d i
అడిగేరో	a dx i g ee r oo
అడిగేవాడట	a dx i g ee w aa dx a tx a
అడిగేవారు	a dx i g ee w aa r u
అడిపిస్తారు	a dx i p i s t aa r u
అడుక్కున్నోళ్ళు	a dx u k k u n n oo lx lx u
అడుగడుగునా	a dx u g a dx u g u n aa
అడుగలేదా	a dx u g a l ee d aa
అడుగు	a dx u g u
అడుగుతది	a dx u g u t a d i
అడుగుతా	a dx u g u t aa
అడుగుతాడా	a dx u g u t aa dx aa
అడుగుతాను	a dx u g u t aa n u
అడుగుతాయని	a dx u g u t aa y a n i
అడుగుతారు	a dx u g u t aa r u
అడుగుతారేమో	a dx u g u t aa r ee m oo
అడుగుతారంట	a dx u g u t aa r a q tx a
అడుగుతాం	a dx u g u t aa q
అడుగుతునట్టే	a dx u g u t u n a tx tx ee
అడుగుతున్నా	a dx u g u t u n n aa
అడుగుతున్నాను	a dx u g u t u n n aa n u
అడుగుతున్నామని	a dx u g u t u n n aa m a n i
అడుగుతున్నారని	a dx u g u t u n n aa r a n i
అడుగుతున్నారు	a dx u g u t u n n aa r u
అడుగుతున్నావు	a dx u g u t u n n aa w u
అడుగుతున్నాం	a dx u g u t u n n aa q
అడుగుతుంటారు	a dx u g u t u q tx aa r u
అడుగుతుంటే	a dx u g u t u q tx ee
అడుగుదూరంలో	a dx u g u d uu r a q l oo
అడుగుపెట్టగలిగామని	a dx u g u p e tx tx a g a l i g aa m a n i
అడుగుపెట్టలేని	a dx u g u p e tx tx a l ee n i
అడుగుపెట్టలేవని	a dx u g u p e tx tx a l ee w a n i
అడుగుపెడితే	a dx u g u p e dx i t ee
అడుగుల	a dx u g u l a
అడుగులకు	a dx u g u l a k u
అడుగులు	a dx u g u l u
అడుగులేస్తోందని	a dx u g u l ee s t oo q d a n i
అడుగేస్తున్నారు	a dx u g ee s t u n n aa r u
అడుగంటడంతో	a dx u g a q tx a dx a q t oo
అడుగంటి	a dx u g a q tx i
అడుగంటిన	a dx u g a q tx i n a
అడుగంటిపోవడంతో	a dx u g a q tx i p oo w a dx a q t oo
అడువులు	a dx u w u l u
అడువుల్ని	a dx u w u l n i
అడేవడో	a dx ee w a dx oo
అడ్డగిస్తున్నారని	a dx dx a g i s t u n n aa r a n i
అడ్డగించి	a dx dx a g i q c i
అడ్డగించే	a dx dx a g i q c ee
అడ్డదారిగా	a dx dx a d aa r i g aa
అడ్డదారిన	a dx dx a d aa r i n a
అడ్డదారుల్లో	a dx dx a d aa r u l l oo
అడ్డాగా	a dx dx aa g aa
అడ్డు	a dx dx u
అడ్డుకట్ట	a dx dx u k a tx tx a
అడ్డుకుని	a dx dx u k u n i
అడ్డుకునే	a dx dx u k u n ee
అడ్డుకునేందుకు	a dx dx u k u n ee q d u k u
అడ్డుకున్న	a dx dx u k u n n a
అడ్డుకున్నది	a dx dx u k u n n a d i
అడ్డుకున్నా	a dx dx u k u n n aa
అడ్డుకున్నారని	a dx dx u k u n n aa r a n i
అడ్డుకున్నారు	a dx dx u k u n n aa r u
అడ్డుకుంటామని	a dx dx u k u q tx aa m a n i
అడ్డుకుంటామన్న	a dx dx u k u q tx aa m a n n a
అడ్డుకుంటున్నదని	a dx dx u k u q tx u n n a d a n i
అడ్డుకుంటున్నామని	a dx dx u k u q tx u n n aa m a n i
అడ్డుకుంటున్నారని	a dx dx u k u q tx u n n aa r a n i
అడ్డుకుంటున్నారనే	a dx dx u k u q tx u n n aa r a n ee
అడ్డుకుంటున్నారన్నారు	a dx dx u k u q tx u n n aa r a n n aa r u
అడ్డుకుంటున్నారే	a dx dx u k u q tx u n n aa r ee
అడ్డుకుంటే	a dx dx u k u q tx ee
అడ్డుకొనే	a dx dx u k o n ee
అడ్డుకోకపోవడం	a dx dx u k oo k a p oo w a dx a q
అడ్డుకోలేకపోతున్నారని	a dx dx u k oo l ee k a p oo t u n n aa r a n i
అడ్డుకోవడమే	a dx dx u k oo w a dx a m ee
అడ్డుకోవడానికి	a dx dx u k oo w a dx aa n i k i
అడ్డుకోవడం	a dx dx u k oo w a dx a q
అడ్డుకోవడంతో	a dx dx u k oo w a dx a q t oo
అడ్డుకోవాల్సిన	a dx dx u k oo w aa l s i n a
అడ్డుగా	a dx dx u g aa
అడ్డుగోడలను	a dx dx u g oo dx a l a n u
అడ్డుగోడలుగానే	a dx dx u g oo dx a l u g aa n ee
అడ్డుతగిలారు	a dx dx u t a g i l aa r u
అడ్డుపడాలని	a dx dx u p a dx aa l a n i
అడ్డుపడినా	a dx dx u p a dx i n aa
అడ్డుపడుతున్నాడంటూ	a dx dx u p a dx u t u n n aa dx a q tx uu
అడ్డుపడుతున్నారనే	a dx dx u p a dx u t u n n aa r a n ee
అడ్డుపడుతూ	a dx dx u p a dx u t uu
అడ్డుపడేందుకు	a dx dx u p a dx ee q d u k u
అడ్డుపుల్ల	a dx dx u p u l l a
అడ్డుపెట్టుకుని	a dx dx u p e tx tx u k u n i
అడ్డుపెట్టుకొని	a dx dx u p e tx tx u k o n i
అడ్డూఅదుపూ	a dx dx uu a d u p uu
అడ్డం	a dx dx a q
అడ్డంకి	a dx dx a q k i
అడ్డంకిగా	a dx dx a q k i g aa
అడ్డంకులను	a dx dx a q k u l a n u
అడ్డంకులు	a dx dx a q k u l u
అడ్డంగా	a dx dx a q g aa
అడ్డంపట్టే	a dx dx a q p a tx tx ee
అడ్వాని	a dx w aa n i
అణగదొక్కు	a nx a g a d o k k u
అణగదొక్కే	a nx a g a d o k k ee
అణచ	a nx a c a
అణచి	a nx a c i
అణచివేయాలని	a nx a c i w ee y aa l a n i
అణచివేశారని	a nx a c i w ee sh aa r a n i
అణచివేసే	a nx a c i w ee s ee
అణచివేసేందుకు	a nx a c i w ee s ee q d u k u
అణచివేస్తూ	a nx a c i w ee s t uu
అణా	a nx aa
అణిచివేసే	a nx i c i w ee s ee
అణు	a nx u
అణుపార్కు	a nx u p aa r k u
అణుపార్కును	a nx u p aa r k u n u
అణువణువు	a nx u w a nx u w u
అణువిద్యుత్	a nx u w i d y u t
అణువిద్యుత్కేంద్రాల	a nx u w i d y u t k ee q d r aa l a
అణువుకి	a nx u w u k i
అణ్వస్త్ర	a nx w a s t r a
అణ్వాయుధ	a nx w aa y u dh a
అతడి	a t a dx i
అతడికి	a t a dx i k i
అతడిని	a t a dx i n i
అతడిపై	a t a dx i p ai
అతడు	a t a dx u
అతడెవరో	a t a dx e w a r oo
అతడే	a t a dx ee
అతడ్ని	a t a dx n i
అతనకి	a t a n a k i
అతనన్నాడు	a t a n a n n aa dx u
అతనా	a t a n aa
అతని	a t a n i
అతనికి	a t a n i k i
అతనికే	a t a n i k ee
అతనితో	a t a n i t oo
అతనితోనే	a t a n i t oo n ee
అతనిని	a t a n i n i
అతనినే	a t a n i n ee
అతనిపై	a t a n i p ai
అతనిలోని	a t a n i l oo n i
అతను	a t a n u
అతనూ	a t a n uu
అతనెప్పుడు	a t a n e p p u dx u
అతనే	a t a n ee
అతనంటే	a t a n a q tx ee
అతన్ని	a t a n n i
అతన్నీ	a t a n n ii
అతలాకుతలమయ్యాయి	a t a l aa k u t a l a m a y y aa y i
అతి	a t i
అతిగా	a t i g aa
అతిథి	a t i th i
అతిథిగా	a t i th i g aa
అతిథులని	a t i th u l a n i
అతిథులు	a t i th u l u
అతిథులుగా	a t i th u l u g aa
అతిథులందిరిని	a t i th u l a q d i r i n i
అతిధి	a t i dh i
అతిపెద్ద	a t i p e d d a
అతిపెద్దది	a t i p e d d a d i
అతిపెద్దదిగా	a t i p e d d a d i g aa
అతిశయోక్తి	a t i sh a y oo k t i
అతీతమయిన	a t ii t a m a y i n a
అతీతమయినదే	a t ii t a m a y i n a d ee
అతీతమైన	a t ii t a m ai n a
అతీతమైనది	a t ii t a m ai n a d i
అతీతులు	a t ii t u l u
అతీతం	a t ii t a q
అతీతంగా	a t ii t a q g aa
అత్త	a t t a
అత్తగారి	a t t a g aa r i
అత్తగారికి	a t t a g aa r i k i
అత్తగారింటికి	a t t a g aa r i q tx i k i
అత్తగారింట్కిలో	a t t a g aa r i q tx k i l oo
అత్తగారింట్లో	a t t a g aa r i q tx l oo
అత్తమవయ్యలు	a t t a m a w a y y a l u
అత్తమామలతో	a t t a m aa m a l a t oo
అత్తమామలు	a t t a m aa m a l u
అత్తమామలేనని	a t t a m aa m a l ee n a n i
అత్తయా	a t t a y aa
అత్తయ్య	a t t a y y a
అత్తరిల్లు	a t t a r i l l u
అత్తరింటి	a t t a r i q tx i
అత్తవారి	a t t a w aa r i
అత్తవారింట్లోకి	a t t a w aa r i q tx l oo k i
అత్తా	a t t aa
అత్తాకోడళ్ల	a t t aa k oo dx a lx l a
అత్తాకోడళ్లు	a t t aa k oo dx a lx l u
అత్తామామలను	a t t aa m aa m a l a n u
అత్తామామలు	a t t aa m aa m a l u
అత్తారింటి	a t t aa r i q tx i
అత్తింటి	a t t i q tx i
అత్తింటికి	a t t i q tx i k i
అత్తింటివారు	a t t i q tx i w aa r u
అత్య	a t y a
అత్యతమ	a t y a t a m a
అత్యదిక	a t y a d i k a
అత్యధిక	a t y a dh i k a
అత్యధికంగా	a t y a dh i k a q g aa
అత్యరం	a t y a r a q
అత్యవసర	a t y a w a s a r a
అత్యవసరాలేమిటో	a t y a w a s a r aa l ee m i tx oo
అత్యవసరంగా	a t y a w a s a r a q g aa
అత్యా	a t y aa
అత్యాచార	a t y aa c aa r a
అత్యాచారయత్నానికి	a t y aa c aa r a y a t n aa n i k i
అత్యాచారానికి	a t y aa c aa r aa n i k i
అత్యాచారాన్ని	a t y aa c aa r aa n n i
అత్యాచారాలకు	a t y aa c aa r aa l a k u
అత్యాచారాలు	a t y aa c aa r aa l u
అత్యాచారం	a t y aa c aa r a q
అత్యాదిక	a t y aa d i k a
అత్యాధునిక	a t y aa dh u n i k a
అత్యావశ్యంగా	a t y aa w a sh y a q g aa
అత్యావసరాల	a t y aa w a s a r aa l a
అత్యాశకు	a t y aa sh a k u
అత్యుత్తమ	a t y u t t a m a
అత్యుత్తమైందని	a t y u t t a m ai q d a n i
అత్యుత్తమం	a t y u t t a m a q
అత్యుత్తమంగా	a t y u t t a m a q g aa
అత్యుత్సాహంతో	a t y u t s aa h a q t oo
అత్యున్నత	a t y u n n a t a
అత్యంత	a t y a q t a
అత్యంతా	a t y a q t aa
అథవాలే	a th a w aa l ee
అథారిటిని	a th aa r i tx i n i
అథారిటీలను	a th aa r i tx ii l a n u
అథ్లెట్	a th l e tx
అథ్లెట్ల	a th l e tx l a
అదనపు	a d a n a p u
అదనమాట	a d a n a m aa tx a
అదని	a d a n i
అదను	a d a n u
అదనుగా	a d a n u g aa
అదనంగా	a d a n a q g aa
అదన్నమాట	a d a n n a m aa tx a
అదన్మాట	a d a n m aa tx a
అదా	a d aa
అది	a d i
అదికమించాలి	a d i k a m i q c aa l i
అదికాదు	a d i k aa d u
అదికార	a d i k aa r a
అదికారులకు	a d i k aa r u l a k u
అదికూడా	a d i k uu dx aa
అదిగ	a d i g a
అదిగో	a d i g oo
అదిచేయాలి	a d i c ee y aa l i
అదితి	a d i t i
అదిరిపోయే	a d i r i p oo y ee
అదిలాబాద్	a d i l aa b aa d
అదీ	a d ii
అదీగాక	a d ii g aa k a
అదుకోవడానికి	a d u k oo w a dx aa n i k i
అదునని	a d u n a n i
అదునుగా	a d u n u g aa
అదుపు	a d u p u
అదుపుచేయలేకపోతోందని	a d u p u c ee y a l ee k a p oo t oo q d a n i
అదుపుచేసే	a d u p u c ee s ee
అదుపుతప్పి	a d u p u t a p p i
అదుపులో	a d u p u l oo
అదుపులోకి	a d u p u l oo k i
అదృశ్యమయ్యాడు	a d rq sh y a m a y y aa dx u
అదృశ్యమయ్యాయని	a d rq sh y a m a y y aa y a n i
అదృశ్యమయ్యారా	a d rq sh y a m a y y aa r aa
అదృశ్యమయ్యారు	a d rq sh y a m a y y aa r u
అదృశ్యమైపోతోందని	a d rq sh y a m ai p oo t oo q d a n i
అదృశ్యమైంది	a d rq sh y a m ai q d i
అదృశ్యం	a d rq sh y a q
అదృశ్యంతో	a d rq sh y a q t oo
అదృష్టమని	a d rq sx tx a m a n i
అదృష్టవతుశా	a d rq sx tx a w a t u sh aa
అదృష్టవశాత్తు	a d rq sx tx a w a sh aa t t u
అదృష్టవంతురాలు	a d rq sx tx a w a q t u r aa l u
అదృష్టం	a d rq sx tx a q
అదృష్టంగా	a d rq sx tx a q g aa
అదెట్లా	a d e tx l aa
అదెలా	a d e l aa
అదెందుకు	a d e q d u k u
అదే	a d ee
అదేదో	a d ee d oo
అదేనని	a d ee n a n i
అదేనమ్మ	a d ee n a m m a
అదేనండి	a d ee n a q dx i
అదేపని	a d ee p a n i
అదేమాదిరిగా	a d ee m aa d i r i g aa
అదేమి	a d ee m i
అదేమిటంటే	a d ee m i tx a q tx ee
అదేమో	a d ee m oo
అదేమంటారు	a d ee m a q tx aa r u
అదేమంటే	a d ee m a q tx ee
అదేలగండి	a d ee l a g a q dx i
అదేవన్న	a d ee w a n n a
అదేవిదంగా	a d ee w i d a q g aa
అదేవిధంగా	a d ee w i dh a q g aa
అదేశిస్తే	a d ee sh i s t ee
అదేసిన్చినట్టులు	a d ee s i n c i n a tx tx u l u
అదేసిస్తామని	a d ee s i s t aa m a n i
అదేం	a d ee q
అదేంటని	a d ee q tx a n i
అదేంటి	a d ee q tx i
అదేంటంటే	a d ee q tx a q tx ee
అదేంది	a d ee q d i
అదైతే	a d ai t ee
అదైన	a d ai n a
అదైనా	a d ai n aa
అదొక	a d o k a
అదొకటి	a d o k a tx i
అదొక్కటే	a d o k k a tx ee
అదొచ్చి	a d o c c i
అదో	a d oo
అదంటే	a d a q tx ee
అదంటేను	a d a q tx ee n u
అదండి	a d a q dx i
అదండీ	a d a q dx ii
అదంతా	a d a q t aa
అదంతే	a d a q t ee
అద్	a d
అద్దాలతో	a d d aa l a t oo
అద్దాలు	a d d aa l u
అద్దికుంటున్నాం	a d d i k u q tx u n n aa q
అద్దులకు	a d d u l a k u
అద్దె	a d d e
అద్దెకు	a d d e k u
అద్దెకుంటున్నారు	a d d e k u q tx u n n aa r u
అద్దెభవనాల్లోనే	a d d e bh a w a n aa l l oo n ee
అద్దెలు	a d d e l u
అద్దేపల్లి	a d d ee p a l l i
అద్దం	a d d a q
అద్దంకి	a d d a q k i
అద్దంకిలో	a d d a q k i l oo
అద్దంపట్టే	a d d a q p a tx tx ee
అద్నాన్	a d n aa n
అద్బుతమైన	a d b u t a m ai n a
అద్బుతం	a d b u t a q
అద్బుతంగా	a d b u t a q g aa
అద్భుత	a d bh u t a
అద్భుతమని	a d bh u t a m a n i
అద్భుతమయిన	a d bh u t a m a y i n a
అద్భుతమైన	a d bh u t a m ai n a
అద్భుతమంటూ	a d bh u t a m a q tx uu
అద్భుతానికి	a d bh u t aa n i k i
అద్భుతాలు	a d bh u t aa l u
అద్భుతం	a d bh u t a q
అద్భుతంగా	a d bh u t a q g aa
అద్యక్ష	a d y a k sx a
